alpha,mu,x_thresh,sigma_thresh,beta,mean_tau,sigma_tau,birth_noise
1.0,7.5,10.0,5.0,0.6075750523716075,0.6983859406945593,0.5582536991787955,0.7224719172192493
1.0,7.5,10.0,10.0,0.5912446824888483,0.6983687922036999,0.5322125588073123,0.7682455667634306
1.0,7.5,10.0,50.0,0.5281885447807785,0.6951709054126066,0.5747550417149097,0.8312276869952568
1.0,7.5,50.0,1.0,0.35936027364130413,0.6936121424516654,0.13068525811716034,0.16770726873801828
1.0,7.5,50.0,5.0,0.5882440177529881,0.6936791370953017,0.17177718449660723,0.19356328967814593
1.0,7.5,50.0,10.0,0.8125160182684422,0.6935635426896101,0.22137703425226485,0.25499209705050907
1.0,7.5,50.0,50.0,0.685693035015396,0.6929327896910644,0.45229966500746754,0.5779937749423424
1.0,7.5,100.0,1.0,0.4079782785935264,0.693257207613146,0.08659961786349794,0.09588705989127118
1.0,7.5,100.0,5.0,0.5493377404997684,0.6933123946731616,0.09409482679643308,0.10779139232499242
1.0,7.5,100.0,10.0,0.7355953370742654,0.6933043014703688,0.11644878596313944,0.13754349889729986
1.0,7.5,100.0,50.0,0.8188230309445632,0.6932420848896788,0.3097305647104565,0.4073171543970972
1.0,7.5,500.0,1.0,0.533734061982431,0.6934754151445134,0.033872656870702574,0.0381283817968754
1.0,7.5,500.0,5.0,0.5836669487492432,0.693541165227232,,0.039275992380845615
1.0,7.5,500.0,10.0,0.6176088427008662,0.693460245756654,0.04766095279254097,0.04302755851231691
1.0,7.5,500.0,50.0,0.9509469389627456,0.6934919127120897,0.11393081900103168,0.10821267356889774
1.0,7.5,1000.0,1.0,0.6492966698166013,0.6938119152921598,0.0351530751363764,0.031294898030131614
1.0,7.5,1000.0,5.0,0.5873387249998109,0.6937530138667047,0.02798429026540706,0.03199818692554744
1.0,7.5,1000.0,10.0,0.671882304562478,0.6938061165086195,0.031310630180995065,0.03286699141551279
1.0,7.5,1000.0,50.0,0.8780712544468421,0.6938100479681214,0.052132988130078745,0.05936454339883835
1.0,10.0,10.0,1.0,0.3017861604241096,0.6982516763492653,0.41297581409910517,0.8504814996151374
1.0,10.0,10.0,5.0,0.5847536244446895,0.6981299620375779,0.39225192770626177,0.9016816839870515
1.0,10.0,10.0,10.0,0.5990034581660959,0.6986094931670742,0.5291830200902077,0.89523034154648
1.0,10.0,10.0,50.0,0.4930267198406605,0.6933119058472079,0.6402783571842249,0.9029251421298126
